,colors,gene_id,gene_name,gene_type,receptor
495,midnightblue,ENSG00000151632,AKR1C2,gene with protein product,
496,turquoise,ENSG00000128309,MPST,gene with protein product,
497,turquoise,ENSG00000109758,HGFAC,gene with protein product,
498,darkred,ENSG00000138823,MTTP,gene with protein product,
499,brown,ENSG00000127184,COX7C,gene with protein product,
500,turquoise,ENSG00000161267,BDH1,gene with protein product,
501,yellow,ENSG00000172831,CES2,gene with protein product,
502,yellow,ENSG00000210176,MT-TH,"RNA, transfer",
503,lightgreen,ENSG00000134294,SLC38A2,gene with protein product,
504,grey60,ENSG00000198755,RPL10A,gene with protein product,
505,grey,ENSG00000198670,LPA,gene with protein product,
506,greenyellow,ENSG00000204592,HLA-E,gene with protein product,
507,yellow,ENSG00000187045,TMPRSS6,gene with protein product,
508,blue,ENSG00000123843,C4BPB,gene with protein product,
509,darkgreen,ENSG00000259827,,,
510,yellow,ENSG00000214530,STARD10,gene with protein product,
511,yellow,ENSG00000127948,POR,gene with protein product,
512,greenyellow,ENSG00000130988,RGN,gene with protein product,
513,salmon,ENSG00000140564,FURIN,gene with protein product,
514,blue,ENSG00000116005,PCYOX1,gene with protein product,
515,grey,ENSG00000005893,LAMP2,gene with protein product,
516,red,ENSG00000074695,LMAN1,gene with protein product,
517,darkmagenta,ENSG00000270641,TSIX,"RNA, long non-coding",
518,grey60,ENSG00000213741,RPS29,gene with protein product,
519,black,ENSG00000141504,SAT2,gene with protein product,
520,brown,ENSG00000163041,H3-3A,gene with protein product,
521,green,ENSG00000144381,HSPD1,gene with protein product,
522,lightgreen,ENSG00000115457,IGFBP2,gene with protein product,
523,grey,ENSG00000206503,HLA-A,gene with protein product,
524,red,ENSG00000117054,ACADM,gene with protein product,
525,pink,ENSG00000008226,DLEC1,gene with protein product,
526,turquoise,ENSG00000072310,SREBF1,gene with protein product,
527,cyan,ENSG00000167468,GPX4,gene with protein product,
528,turquoise,ENSG00000168306,ACOX2,gene with protein product,
529,grey,ENSG00000164120,HPGD,gene with protein product,
530,brown,ENSG00000265681,RPL17,gene with protein product,
531,brown,ENSG00000237550,,,
532,salmon,ENSG00000112159,MDN1,gene with protein product,
533,blue,ENSG00000277893,SRD5A2,gene with protein product,
534,turquoise,ENSG00000104823,ECH1,gene with protein product,
535,grey,ENSG00000134339,SAA2,gene with protein product,
536,steelblue,ENSG00000111700,SLCO1B3,gene with protein product,
537,grey60,ENSG00000260342,,,
538,blue,ENSG00000169903,TM4SF4,gene with protein product,
539,green,ENSG00000135535,CD164,gene with protein product,
540,turquoise,ENSG00000198077,CYP2A7,gene with protein product,
541,black,ENSG00000142192,APP,gene with protein product,
542,turquoise,ENSG00000073605,GSDMB,gene with protein product,
543,blue,ENSG00000175189,INHBC,gene with protein product,
544,blue,ENSG00000152291,TGOLN2,gene with protein product,
545,salmon,ENSG00000100003,SEC14L2,gene with protein product,
546,grey,ENSG00000179761,PIPOX,gene with protein product,
547,magenta,ENSG00000163687,DNASE1L3,gene with protein product,
548,pink,ENSG00000249173,LINC01093,"RNA, long non-coding",
549,orange,ENSG00000067064,IDI1,gene with protein product,
550,red,ENSG00000110321,EIF4G2,gene with protein product,
551,grey,ENSG00000260886,TAT-AS1,"RNA, long non-coding",
552,pink,ENSG00000135447,PPP1R1A,gene with protein product,
553,brown,ENSG00000197111,PCBP2,gene with protein product,
554,yellow,ENSG00000122971,ACADS,gene with protein product,
555,turquoise,ENSG00000100380,ST13,gene with protein product,
556,grey,ENSG00000100652,SLC10A1,gene with protein product,
557,pink,ENSG00000131143,COX4I1,gene with protein product,
558,midnightblue,ENSG00000197043,ANXA6,gene with protein product,
559,blue,ENSG00000150093,ITGB1,gene with protein product,
560,turquoise,ENSG00000172340,SUCLG2,gene with protein product,
561,turquoise,ENSG00000159650,UROC1,gene with protein product,
562,green,ENSG00000163347,CLDN1,gene with protein product,
563,midnightblue,ENSG00000198610,AKR1C4,gene with protein product,
564,green,ENSG00000143158,MPC2,gene with protein product,
565,grey60,ENSG00000109686,SH3D19,gene with protein product,
566,orange,ENSG00000161011,SQSTM1,gene with protein product,
567,pink,ENSG00000140988,RPS2,gene with protein product,
568,grey60,ENSG00000170889,RPS9,gene with protein product,
569,grey,ENSG00000259974,LINC00261,"RNA, long non-coding",
570,grey,ENSG00000187134,AKR1C1,gene with protein product,
571,pink,ENSG00000214855,APOC1P1,pseudogene,
572,yellow,ENSG00000123384,LRP1,gene with protein product,
573,greenyellow,ENSG00000107798,LIPA,gene with protein product,
574,blue,ENSG00000178772,CPN2,gene with protein product,
575,black,ENSG00000009307,CSDE1,gene with protein product,
576,darkgrey,ENSG00000023839,ABCC2,gene with protein product,
577,brown,ENSG00000245970,RPL30-AS1,"RNA, long non-coding",
578,grey60,ENSG00000104408,EIF3E,gene with protein product,
579,green,ENSG00000162368,CMPK1,gene with protein product,
580,grey60,ENSG00000263809,,,
581,grey60,ENSG00000162244,RPL29,gene with protein product,
582,yellow,ENSG00000005471,ABCB4,gene with protein product,
583,blue,ENSG00000127241,MASP1,gene with protein product,
584,brown,ENSG00000186468,RPS23,gene with protein product,
585,pink,ENSG00000140264,SERF2,gene with protein product,
586,steelblue,ENSG00000196083,IL1RAP,gene with protein product,
587,turquoise,ENSG00000115255,REEP6,gene with protein product,
588,grey,ENSG00000116882,HAO2,gene with protein product,
589,green,ENSG00000136240,KDELR2,gene with protein product,KDEL endoplasmic reticulum protein retention receptors
590,grey,ENSG00000145476,CYP4V2,gene with protein product,
591,steelblue,ENSG00000230328,,,
592,yellow,ENSG00000076555,ACACB,gene with protein product,
593,blue,ENSG00000246090,,,
594,orange,ENSG00000172893,DHCR7,gene with protein product,
595,black,ENSG00000011465,DCN,gene with protein product,
596,grey,ENSG00000023330,ALAS1,gene with protein product,
597,cyan,ENSG00000269968,,,
598,blue,ENSG00000100714,MTHFD1,gene with protein product,
599,green,ENSG00000143742,SRP9,gene with protein product,
600,grey,ENSG00000101076,HNF4A,gene with protein product,
601,turquoise,ENSG00000104852,SNRNP70,gene with protein product,
602,turquoise,ENSG00000221978,CCNL2,gene with protein product,
603,turquoise,ENSG00000166126,AMN,gene with protein product,
604,turquoise,ENSG00000108846,ABCC3,gene with protein product,
605,green,ENSG00000120742,SERP1,gene with protein product,
606,grey,ENSG00000155368,DBI,gene with protein product,
607,purple,ENSG00000146416,AIG1,gene with protein product,
608,brown,ENSG00000152348,ATG10,gene with protein product,
609,turquoise,ENSG00000090539,CHRD,gene with protein product,
610,red,ENSG00000112992,NNT,gene with protein product,
611,skyblue3,ENSG00000103876,FAH,gene with protein product,
612,pink,ENSG00000267467,APOC4,gene with protein product,
613,turquoise,ENSG00000149124,GLYAT,gene with protein product,
614,grey,ENSG00000079246,XRCC5,gene with protein product,
615,turquoise,ENSG00000186715,MST1L,pseudogene,
616,lightcyan,ENSG00000152234,ATP5F1A,gene with protein product,
617,turquoise,ENSG00000101204,CHRNA4,gene with protein product,Cholinergic receptors nicotinic subunits
618,darkred,ENSG00000143278,F13B,gene with protein product,
619,turquoise,ENSG00000105835,NAMPT,gene with protein product,
620,brown,ENSG00000137563,GGH,gene with protein product,
621,salmon,ENSG00000100897,DCAF11,gene with protein product,
622,green,ENSG00000116791,CRYZ,gene with protein product,
623,grey60,ENSG00000114942,EEF1B2,gene with protein product,
624,yellow,ENSG00000268895,A1BG-AS1,"RNA, long non-coding",
625,blue,ENSG00000079739,PGM1,gene with protein product,
626,brown,ENSG00000124172,ATP5F1E,gene with protein product,
627,yellow,ENSG00000126522,ASL,gene with protein product,
628,grey,ENSG00000124713,GNMT,gene with protein product,
629,blue,ENSG00000160712,IL6R,gene with protein product,
630,yellow,ENSG00000149476,TKFC,gene with protein product,
631,turquoise,ENSG00000072210,ALDH3A2,gene with protein product,
632,red,ENSG00000259171,,,
633,salmon,ENSG00000140479,PCSK6,gene with protein product,
634,darkorange,ENSG00000149547,EI24,gene with protein product,
635,turquoise,ENSG00000145703,IQGAP2,gene with protein product,
636,grey,ENSG00000166840,GLYATL1,gene with protein product,
637,brown,ENSG00000221983,UBA52,gene with protein product,
638,brown,ENSG00000143933,CALM2,gene with protein product,
639,lightgreen,ENSG00000196502,SULT1A1,gene with protein product,
640,black,ENSG00000113369,ARRDC3,gene with protein product,
641,tan,ENSG00000008517,IL32,gene with protein product,
642,skyblue,ENSG00000169045,HNRNPH1,gene with protein product,
643,pink,ENSG00000177600,RPLP2,gene with protein product,
644,red,ENSG00000152078,TLCD4,gene with protein product,
645,purple,ENSG00000209082,MT-TL1,"RNA, transfer",
646,blue,ENSG00000146085,MMUT,gene with protein product,
647,greenyellow,ENSG00000135047,CTSL,gene with protein product,
648,blue,ENSG00000116704,SLC35D1,gene with protein product,
649,brown,ENSG00000204370,SDHD,gene with protein product,
650,brown,ENSG00000135404,CD63,gene with protein product,
651,green,ENSG00000133872,SARAF,gene with protein product,
652,grey60,ENSG00000151914,DST,gene with protein product,
653,turquoise,ENSG00000101194,SLC17A9,gene with protein product,
654,turquoise,ENSG00000074964,ARHGEF10L,gene with protein product,
655,grey,ENSG00000008311,AASS,gene with protein product,
656,turquoise,ENSG00000084734,GCKR,gene with protein product,
657,grey,ENSG00000100201,DDX17,gene with protein product,
658,sienna3,ENSG00000111057,KRT18,gene with protein product,
659,grey,ENSG00000276490,,,
660,turquoise,ENSG00000116209,TMEM59,gene with protein product,
661,pink,ENSG00000197728,RPS26,gene with protein product,
662,grey,ENSG00000148218,ALAD,gene with protein product,
663,grey,ENSG00000123561,SERPINA7,gene with protein product,
664,turquoise,ENSG00000003436,TFPI,gene with protein product,
665,turquoise,ENSG00000170458,CD14,gene with protein product,
666,grey60,ENSG00000168028,RPSA,gene with protein product,
667,black,ENSG00000169242,EFNA1,gene with protein product,
668,turquoise,ENSG00000063046,EIF4B,gene with protein product,
669,tan,ENSG00000100577,GSTZ1,gene with protein product,
670,yellow,ENSG00000165828,PRAP1,gene with protein product,
671,turquoise,ENSG00000111897,SERINC1,gene with protein product,
672,salmon,ENSG00000169562,GJB1,gene with protein product,
673,greenyellow,ENSG00000258451,EGILA,"RNA, long non-coding",
674,lightcyan,ENSG00000106261,ZKSCAN1,gene with protein product,
675,grey,ENSG00000147155,EBP,gene with protein product,
676,turquoise,ENSG00000262831,,,
677,brown,ENSG00000118680,MYL12B,gene with protein product,
678,turquoise,ENSG00000135069,PSAT1,gene with protein product,
679,turquoise,ENSG00000215644,GCGR,gene with protein product,Glucagon receptor family
680,brown,ENSG00000189403,HMGB1,gene with protein product,
681,sienna3,ENSG00000130173,ANGPTL8,gene with protein product,
682,brown,ENSG00000198830,HMGN2,gene with protein product,
683,yellow,ENSG00000283496,ZNF511-PRAP1,readthrough,
684,brown,ENSG00000148834,GSTO1,gene with protein product,
685,grey,ENSG00000140374,ETFA,gene with protein product,
686,red,ENSG00000170348,TMED10,gene with protein product,
687,turquoise,ENSG00000143365,RORC,gene with protein product,RAR related orphan receptors
688,red,ENSG00000100650,SRSF5,gene with protein product,
689,turquoise,ENSG00000186204,CYP4F12,gene with protein product,
690,lightgreen,ENSG00000157514,TSC22D3,gene with protein product,
691,brown,ENSG00000181163,NPM1,gene with protein product,
692,pink,ENSG00000063177,RPL18,gene with protein product,
693,white,ENSG00000133639,BTG1,gene with protein product,
694,turquoise,ENSG00000186350,RXRA,gene with protein product,
695,red,ENSG00000067167,TRAM1,gene with protein product,
696,grey,ENSG00000167588,GPD1,gene with protein product,
697,turquoise,ENSG00000184232,OAF,gene with protein product,
698,darkgreen,ENSG00000100906,NFKBIA,gene with protein product,
699,yellow,ENSG00000142949,PTPRF,gene with protein product,
700,turquoise,ENSG00000156976,EIF4A2,gene with protein product,
701,turquoise,ENSG00000250799,PRODH2,gene with protein product,
702,magenta,ENSG00000010610,CD4,gene with protein product,
703,green,ENSG00000136052,SLC41A2,gene with protein product,
704,lightyellow,ENSG00000058262,SEC61A1,gene with protein product,
705,black,ENSG00000128272,ATF4,gene with protein product,
706,grey,ENSG00000065154,OAT,gene with protein product,
707,black,ENSG00000265401,,,
708,brown,ENSG00000164405,UQCRQ,gene with protein product,
709,brown,ENSG00000116251,RPL22,gene with protein product,
710,grey,ENSG00000285976,,,
711,blue,ENSG00000089597,GANAB,gene with protein product,
712,red,ENSG00000071537,SEL1L,gene with protein product,
713,blue,ENSG00000115306,SPTBN1,gene with protein product,
714,grey,ENSG00000112245,PTP4A1,gene with protein product,
715,grey60,ENSG00000254772,EEF1G,gene with protein product,
716,grey,ENSG00000164266,SPINK1,gene with protein product,
717,grey60,ENSG00000255508,,,
718,blue,ENSG00000101577,LPIN2,gene with protein product,
719,brown,ENSG00000154723,ATP5PF,gene with protein product,
720,turquoise,ENSG00000102024,PLS3,gene with protein product,
721,blue,ENSG00000181192,DHTKD1,gene with protein product,
722,grey,ENSG00000147853,AK3,gene with protein product,
723,blue,ENSG00000138760,SCARB2,gene with protein product,Scavenger receptors
724,blue,ENSG00000137713,PPP2R1B,gene with protein product,
725,blue,ENSG00000143870,PDIA6,gene with protein product,
726,black,ENSG00000112715,VEGFA,gene with protein product,
727,blue,ENSG00000113719,ERGIC1,gene with protein product,
728,turquoise,ENSG00000138075,ABCG5,gene with protein product,
729,blue,ENSG00000256811,TIALD,"RNA, long non-coding",
730,turquoise,ENSG00000088926,F11,gene with protein product,
731,yellow,ENSG00000114867,EIF4G1,gene with protein product,
732,black,ENSG00000100664,EIF5,gene with protein product,
733,blue,ENSG00000289699,,,
734,grey,ENSG00000115524,SF3B1,gene with protein product,
735,green,ENSG00000258818,RNASE4,gene with protein product,
736,lightyellow,ENSG00000091262,ABCC6,gene with protein product,
737,turquoise,ENSG00000148175,STOM,gene with protein product,
738,grey,ENSG00000182704,TSKU,gene with protein product,
739,blue,ENSG00000011347,SYT7,gene with protein product,
740,brown,ENSG00000187514,PTMA,gene with protein product,
741,black,ENSG00000131051,RBM39,gene with protein product,
742,turquoise,ENSG00000177106,EPS8L2,gene with protein product,
743,turquoise,ENSG00000166123,GPT2,gene with protein product,
744,pink,ENSG00000165502,RPL36AL,gene with protein product,
745,turquoise,ENSG00000205702,CYP2D7,gene with protein product,
746,darkred,ENSG00000121858,TNFSF10,gene with protein product,
747,red,ENSG00000180398,MCFD2,gene with protein product,
748,cyan,ENSG00000130005,GAMT,gene with protein product,
749,brown,ENSG00000164919,COX6C,gene with protein product,
750,red,ENSG00000086598,TMED2,gene with protein product,
751,brown,ENSG00000131174,COX7B,gene with protein product,
752,darkgrey,ENSG00000127481,UBR4,gene with protein product,
753,yellow,ENSG00000139540,SLC39A5,gene with protein product,
754,green,ENSG00000165678,GHITM,gene with protein product,
755,brown,ENSG00000171858,RPS21,gene with protein product,
756,red,ENSG00000122786,CALD1,gene with protein product,
757,yellow,ENSG00000163453,IGFBP7,gene with protein product,
758,grey,ENSG00000196230,TUBB,gene with protein product,
759,pink,ENSG00000159228,CBR1,gene with protein product,
760,midnightblue,ENSG00000178445,GLDC,gene with protein product,
761,green,ENSG00000117528,ABCD3,gene with protein product,
762,blue,ENSG00000170271,FAXDC2,gene with protein product,
763,blue,ENSG00000131791,PRKAB2,gene with protein product,
764,darkturquoise,ENSG00000159921,GNE,gene with protein product,
765,turquoise,ENSG00000155666,KDM8,gene with protein product,
766,green,ENSG00000179918,SEPHS2,gene with protein product,
767,red,ENSG00000082153,BZW1,gene with protein product,
